day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-05-02,500,0.09,1755,0.09646
2016-05-02,500,0.4,5118,0.338596
2016-05-02,500,0.7,5577,0.37164400000000003
2016-05-02,500,1.01,5321,0.35321199999999997
2016-05-02,500,1.31,5256,0.348532
2016-05-02,501,0.07,1675,0.0907
2016-05-02,501,0.37,5696,0.380212
2016-05-02,501,0.68,5940,0.39778
2016-05-02,501,0.98,5850,0.391348
2016-05-02,501,1.29,5496,0.36581199999999997
2016-05-02,501,1.59,4885,0.32182
2016-05-02,501,1.9,4278,0.278116
2016-05-02,501,2.2,3982,0.256804
2016-05-02,501,2.51,4051,0.261772
2016-05-02,501,2.81,4258,0.27667600000000003
2016-05-02,501,3.12,4336,0.282292
2016-05-02,501,3.42,4286,0.278692
2016-05-02,501,3.73,4544,0.297268
2016-05-02,501,4.03,5472,0.364084
2016-05-02,501,4.34,4927,0.324844
2016-05-02,501,4.64,5655,0.37726
2016-05-02,501,4.95,6044,0.40526799999999996
2016-05-02,501,5.25,5769,0.385468
2016-05-02,501,5.56,5615,0.37438
2016-05-02,501,5.86,5834,0.390148
2016-05-02,501,6.17,6168,0.414196
2016-05-02,501,6.47,5720,0.38194
2016-05-02,501,6.78,5623,0.374956
2016-05-02,501,7.08,5420,0.36034
2016-05-02,501,7.38,4445,0.29014
2016-05-02,501,7.69,4718,0.309796
2016-05-02,501,7.99,4281,0.278332
2016-05-02,501,8.3,4131,0.267532
2016-05-02,501,8.6,4001,0.25817199999999996
2016-05-02,502,0.13,2924,0.124952
2016-05-02,502,0.44,6136,0.27912800000000004
2016-05-02,502,0.74,5923,0.268904
2016-05-02,502,1.05,6585,0.30068
2016-05-02,503,0.2,3427,0.216844
2016-05-02,503,0.5,4217,0.27372399999999997
2016-05-02,503,0.81,4257,0.276604
2016-05-02,503,1.11,4531,0.296332
2016-05-02,503,1.42,4422,0.288484
2016-05-02,503,1.72,4397,0.286684
2016-05-02,503,2.03,4462,0.291364
2016-05-02,503,2.33,4200,0.2725
2016-05-02,503,2.64,4129,0.267388
2016-05-02,503,2.94,4351,0.28337199999999996
2016-05-02,503,3.25,4002,0.25824400000000003
2016-05-02,503,3.55,4069,0.26306799999999997
2016-05-02,503,3.86,3850,0.2473
2016-05-02,503,4.16,3875,0.2491
2016-05-02,503,4.47,4145,0.26854
2016-05-02,503,4.77,4118,0.266596
2016-05-02,503,5.08,4097,0.26508400000000004
2016-05-02,503,5.38,3971,0.25601199999999996
2016-05-02,503,5.69,4238,0.27523600000000004
2016-05-02,503,5.99,3819,0.24506799999999998
2016-05-02,503,6.3,4153,0.26911599999999997
2016-05-02,503,6.6,4108,0.265876
2016-05-02,503,6.91,4194,0.272068
2016-05-02,505,0.21,4569,0.20391199999999998
2016-05-02,505,0.51,5422,0.244856
2016-05-02,505,0.82,4657,0.20813600000000002
2016-05-02,505,1.12,4985,0.223912
2016-05-02,505,1.43,5076,0.228248
2016-05-02,505,1.73,4951,0.222248
2016-05-02,505,2.04,4597,0.205256
2016-05-02,505,2.34,5213,0.23482399999999998
2016-05-02,505,2.65,5226,0.235448
2016-05-02,505,2.95,5150,0.2318
2016-05-02,505,3.26,5446,0.246008
2016-05-02,505,3.56,4859,0.21783200000000003
2016-05-02,505,3.87,4958,0.222584
2016-05-02,505,4.17,5416,0.24456799999999998
2016-05-02,505,4.48,5291,0.23856799999999997
2016-05-02,505,4.78,5744,0.260312
2016-05-02,505,5.09,5246,0.23640799999999998
2016-05-02,505,5.39,5547,0.25085599999999997
2016-05-02,505,5.7,5031,0.226088
2016-05-02,505,6.0,5095,0.22916
2016-05-02,506,0.2,4610,0.30201999999999996
2016-05-02,506,0.51,6046,0.405412
