index,ERCZO ID,Original Sample Vial Label,Date Collected,Time Collected,Site,Location,Sample Type,Sample Type II,Sample Type III,Tree tag,Tree tag 2,Species (common),Species (scientific),Well water level (m),Depth (m),Depth (cm),Depth (ft),Gravimetric moisture content (g/g),Collected by,Notes,Exclude?,dD Instrument,dO Instrument,HD run ID,dD,GB run ID,dO,Adjacent well groundwater depth at time of sampling (m),Energetic State,Date collection started,Time collection started,"(obsolete, miscalculated) Gravimetric moisture content (g/g)","(obsolete, miscalculated) Gravimetric moisture content (g/g).1"
27,28.0,204 8/6/15,2015-08-06,,Sagehorn,T3/204,Tree,Stem,,3.0,204.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-58.5,621,-7.06,>2,,,,,
28,29.0,T208 8/6/15 Melange N.,2015-08-06,,Sagehorn,T167/208,Tree,Stem,,167.0,208.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-61.3,621,-7.98,>2,,,,,
30,31.0,T209 8/6/15 Melange N.,2015-08-06,,Sagehorn,T168/209,Tree,Stem,,168.0,209.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-58.5,621,-7.51,>2,,,,,
31,32.0,207 8/6/15,2015-08-06,,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-60.6,621,-8.24,>2,,,,,
32,33.0,206 8/6/15,2015-08-06,,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-68.3,621,-10.42,>2,,,,,
33,34.0,205 8/6/15,2015-08-06,,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,>2,,,,,Wong,,,,,454,-70.3,621,-10.84,,,,,,
68,69.0,501 7m 092515,2015-09-25,,Sagehorn,W501,Water,Well water,,,,,,,,,,,,,,,,468,-52.0,637,-7.69,,,,,,
70,71.0,W500 120915,2015-12-09,,Sagehorn,W500,Water,Well water,,,,,,,,,,,,,,,,468,-44.8,637,-7.06,,,,,,
71,72.0,W501 120915,2015-12-09,,Sagehorn,W501,Water,Well water,,,,,,,,,,,,,,,,468,-35.3,637,-5.96,,,,,,
72,73.0,W502 120915,2015-12-09,,Sagehorn,W502,Water,Well water,,,,,,,,,,,,,,,,468,-45.2,637,-7.33,,,,,,
74,75.0,W506 120915,2015-12-09,,Sagehorn,W506,Water,Well water,,,,,,,,,,,,,,,,468,-30.7,637,-5.58,,,,,,
75,76.0,W507 120915,2015-12-09,,Sagehorn,W507,Water,Well water,,,,,,,,,,,,,,,,468,-29.6,637,-5.82,,,,,,
76,77.0,W508 120915,2015-12-09,,Sagehorn,W508,Water,Well water,,,,,,,,,,,,,,,,468,-32.1,637,-6.06,,,,,,
77,78.0,MN1 120915,2015-12-09,,Sagehorn,MN1,Water,Well water,,,,,,,,,,,,0.28 cm,,,,468,-44.9,637,-7.56,,,,,,
78,79.0,MS4 120915,2015-12-09,,Sagehorn,MS4,Water,Well water,,,,,,,,,,,,"0 m, water at surface. Complete saturation, overland flow.",,,,468,-43.7,637,-6.85,,,,,,
79,80.0,Dry 121015,2015-12-10,16:11,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,,,,,,,,,468,-34.9,637,-6.31,,,,,,
92,93.0,Dry 010516,2016-01-05,14:20,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,,,,,,,,,469,-48.0,638,-7.68,,,,,,
97,98.0,Dry 010716,2016-01-07,17:00,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,,,,,,,,,469,-48.4,638,-7.59,,,,,,
116,117.0,SH501 123015,2015-12-30,,Sagehorn,W501,Water,Well water,,,,,,,,,,,,,,,,469,-50.6,638,-7.77,,,,,,
117,118.0,SH502 123015,2015-12-30,,Sagehorn,W502,Water,Well water,,,,,,,,,,,,,,,,469,-46.3,638,-7.15,,,,,,
119,120.0,SH506 123015,2015-12-30,,Sagehorn,W506,Water,Well water,,,,,,,,,,,,,,,,469,-37.1,638,-6.46,,,,,,
120,121.0,SH507 123015,2015-12-30,,Sagehorn,W507,Water,Well water,,,,,,,,,,,,,,,,469,-41.5,638,-6.13,,,,,,
121,122.0,SH508 123015,2015-12-30,,Sagehorn,W508,Water,Well water,,,,,,,,,,,,,,,,469,-36.4,638,-6.33,,,,,,
122,123.0,Dry 123015,2015-12-30,12:31,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,,,,,,,,,469,-44.4,638,-6.52,,,,,,
124,125.0,M1,2015-08-03,,Sagehorn,MN1,Soil or rock,Drilled material,Soil,,,,,,0.1,10,,0.07312290769999999,Wong,Melange North 1. Auger hole near T208,,,,454,-51.6,621,-2.54,,,,,0.0681,
125,126.0,M2,2015-08-03,,Sagehorn,MN1,Soil or rock,Drilled material,Soil,,,,,,0.2,20,,0.07773499734,Wong,Melange North 1. Auger hole near T208,,,,454,-58.8,621,-5.59,,,,,0.0721,
